1注文の約定金額,パソコン,スマートフォン用アプリ「マネックストレーダー株式 スマートフォン」、携帯電話（ガラケー）
10万円以下,100円,
10万円超 20万円以下,180円,
20万円超 30万円以下,250円,
30万円超 40万円以下,350円,
40万円超 50万円以下,450円,
50万円超 100万円以下 （※）,"（成行注文）1,000円  （指値注文）1,500円",約定金額の0.1%
100万円超 （※）,（成行注文）約定金額の0.1%  （指値注文）約定金額の0.15%,
